questionId,title,subTitle,doneNum,task1Types,task2Types,task2Topics,groups,listValues,detailOk,chartCount,detailReason
8442,剑雅18 Test 1,C18T1W1,79209,线型图,,,线型图,1301_0_1303,true,1,
8319,剑雅16 Test 1,C16T1W1,66453,线型图,,,线型图,1301_0_1303,true,1,
8517,剑雅19 Test 1,C19T1W1,66067,线型图,,,线型图,1301_0_1303,true,1,
8395,剑雅17 Test 1,C17T1W1,54929,地图,,,地图,1301_0_1308,true,1,
8124,剑雅15 Test 1,C15T1W1,51560,柱状图,,,柱状图,1301_0_1304,true,1,
8397,剑雅17 Test 2,C17T2W1,46418,饼型图,,,饼型图,1301_0_1306,true,1,
8410,剑雅17 Test 4,C17T4W1,46311,线型图,,,线型图,1301_0_1303,true,1,
8133,剑雅15 Test 2,C15T2W1,46123,线型图,,,线型图,1301_0_1303,true,1,
8454,剑雅18 Test 2,C18T2W1,42780,柱状图,,,柱状图,1301_0_1304,true,1,
8396,剑雅17 Test 1,C17T1W2,41483,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8405,剑雅17 Test 3,C17T3W1,38833,柱状图,,,柱状图,1301_0_1304,true,1,
8333,剑雅16 Test 2,C16T2W1,38674,流程图,,,流程图,1301_0_1305,true,1,
8332,剑雅16 Test 1,C16T1W2,38382,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
6624,剑雅14 Test 1,C14T1W1,38199,饼型图,,,饼型图,1301_0_1306,true,1,
8443,剑雅18 Test 1,C18T1W2,36261,,是否同意,全部话题|政府类,是否同意,1302_0_1310|1302_1313_1310,true,0,
8478,剑雅18 Test 4,C18T4W1,35356,线型图,,,线型图,1301_0_1303,true,1,
8518,剑雅19 Test 1,C19T1W2,31830,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
6961,剑雅5 Test 1,C5T1W1,29584,线型图,,,线型图,1301_0_1303,true,1,
6789,剑雅11 Test 3,C11T3W1,29469,线型图,,,线型图,1301_0_1303,true,1,
8522,剑雅19 Test 2,C19T2W1,28715,地图,,,地图,1301_0_1308,true,1,
8398,剑雅17 Test 2,C17T2W2,28272,,利弊分析,全部话题|教育类,利弊分析,1302_0_1309|1302_1314_1309,true,0,
8466,剑雅18 Test 3,C18T3W1,28237,地图,,,地图,1301_0_1308,true,1,
8335,剑雅16 Test 3,C16T3W1,28163,地图,,,地图,1301_0_1308,true,1,
8574,剑雅20 Test 1,C20T1W1,27132,表格,,,表格,1301_0_1307,true,1,
8159,剑雅15 Test 4,C15T4W1,26979,拼图,,,拼图,1301_0_1364,true,1,
8125,剑雅15 Test 1,C15T1W2,26658,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8467,剑雅18 Test 3,C18T3W2,26511,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8337,剑雅16 Test 4,C16T4W1,26404,流程图,,,流程图,1301_0_1305,true,1,
8524,剑雅19 Test 3,C19T3W1,25741,流程图,,,流程图,1301_0_1305,true,1,
6914,剑雅10 Test 2,C10T2W1,25532,表格,,,表格,1301_0_1307,true,0,
8138,剑雅15 Test 3,C15T3W1,24300,流程图,,,流程图,1301_0_1305,true,1,
6756,剑雅11 Test 1,C11T1W1,24263,饼型图,,,饼型图,1301_0_1306,true,1,
8455,剑雅18 Test 2,C18T2W2,24063,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
8336,剑雅16 Test 3,C16T3W2,23998,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
6683,剑雅13 Test 2,C13T2W1,23831,柱状图,,,柱状图,1301_0_1304,true,1,
8532,剑雅19 Test 4,C19T4W1,22731,拼图,,,拼图,1301_0_1364,true,1,
8334,剑雅16 Test 2,C16T2W2,22642,,说明文,全部话题|媒体类,说明文,1302_0_1311|1302_1315_1311,true,0,
8533,剑雅19 Test 4,C19T4W2,22135,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8406,剑雅17 Test 3,C17T3W2,21879,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
8338,剑雅16 Test 4,C16T4W2,21526,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8523,剑雅19 Test 2,C19T2W2,21245,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
8134,剑雅15 Test 2,C15T2W2,20889,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
6888,剑雅9 Test 4,C9T4W1,20165,线型图,,,线型图,1301_0_1303,true,1,
6664,剑雅14 Test 4,C14T4W1,19956,地图,,,地图,1301_0_1308,true,1,
6723,剑雅12 Test 5,C12T5W1,19948,柱状图,,,柱状图,1301_0_1304,true,1,
6818,剑雅10 Test 1,C10T1W1,19092,饼型图,,,饼型图,1301_0_1306,true,1,
6672,剑雅13 Test 1,C13T1W1,19087,地图,,,地图,1301_0_1308,true,1,
8411,剑雅17 Test 4,C17T4W2,18896,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8160,剑雅15 Test 4,C15T4W2,18539,,利弊分析,全部话题|教育类,利弊分析,1302_0_1309|1302_1314_1309,true,0,
8139,剑雅15 Test 3,C15T3W2,18225,,双边讨论,全部话题|媒体类,双边讨论,1302_0_1365|1302_1315_1365,true,0,
6696,剑雅13 Test 3,C13T3W1,18073,柱状图,,,柱状图,1301_0_1304,true,1,
6639,剑雅14 Test 2,C14T2W1,18023,拼图,,,拼图,1301_0_1364,true,1,
6649,剑雅14 Test 3,C14T3W1,17844,流程图,,,流程图,1301_0_1305,true,1,
8575,剑雅20 Test 1,C20T1W2,17470,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
8479,剑雅18 Test 4,C18T4W2,16701,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
6949,剑雅8 Test 4,C8T4W1,16482,线型图,,,线型图,1301_0_1303,true,1,
6992,剑雅7 Test 2,C7T2W1,16219,线型图,,,线型图,1301_0_1303,true,1,
6797,剑雅11 Test 2,C11T2W1,16076,饼型图,,,饼型图,1301_0_1306,true,1,
7125,剑雅7 Test 1,C7T1W1,15975,表格,,,表格,1301_0_1307,true,0,
8576,剑雅20 Test 2,C20T2W1,15934,地图,,,地图,1301_0_1308,true,1,
8525,剑雅19 Test 3,C19T3W2,15241,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
8577,剑雅20 Test 2,C20T2W2,15167,,利弊分析,全部话题|教育类,利弊分析,1302_0_1309|1302_1314_1309,true,0,
6625,剑雅14 Test 1,C14T1W2,15139,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
7077,剑雅6 Test 1,C6T1W1,14997,线型图,,,线型图,1301_0_1303,true,1,
6762,剑雅12 Test 7,C12T7W1,14770,柱状图,,,柱状图,1301_0_1304,true,1,
8578,剑雅20 Test 3,C20T3W1,14221,拼图,,,拼图,1301_0_1364,true,1,
6878,剑雅9 Test 2,C9T2W1,13247,柱状图,,,柱状图,1301_0_1304,true,1,
6666,剑雅14 Test 4,C14T4W2,13204,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
6827,剑雅10 Test 3,C10T3W1,12918,柱状图,,,柱状图,1301_0_1304,true,1,
6739,剑雅12 Test 6,C12T6W1,12833,地图,,,地图,1301_0_1308,true,1,
6771,剑雅12 Test 8,C12T8W1,12721,流程图,,,流程图,1301_0_1305,true,1,
6846,剑雅9 Test 1,C9T1W1,12719,地图,,,地图,1301_0_1308,true,1,
6728,剑雅13 Test 4,C13T4W1,12536,地图,,,地图,1301_0_1308,true,1,
6640,剑雅14 Test 2,C14T2W2,12532,,双边讨论,全部话题|环境类,双边讨论,1302_0_1365|1302_1312_1365,true,0,
6933,剑雅8 Test 2,C8T2W1,12300,饼型图,,,饼型图,1301_0_1306,true,1,
8580,剑雅20 Test 4,C20T4W1,12247,流程图,,,流程图,1301_0_1305,true,1,
6650,剑雅14 Test 3,C14T3W2,12241,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
6673,剑雅13 Test 1,C13T1W2,11935,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
6904,剑雅8 Test 1,C8T1W1,11691,拼图,,,拼图,1301_0_1364,true,1,
8579,剑雅20 Test 3,C20T3W2,11412,,利弊分析,全部话题|环境类,利弊分析,1302_0_1309|1302_1312_1309,true,0,
7036,剑雅5 Test 2,C5T2W1,11185,柱状图,,,柱状图,1301_0_1304,true,1,
6741,剑雅12 Test 6,C12T6W2,11158,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
6859,剑雅10 Test 4,C10T4W1,11099,流程图,,,流程图,1301_0_1305,true,1,
6819,剑雅10 Test 1,C10T1W2,11081,,是否同意,全部话题|教育类,是否同意,1302_0_1310|1302_1314_1310,true,0,
6938,剑雅9 Test 3,C9T3W1,10965,饼型图,,,饼型图,1301_0_1306,true,1,
6962,剑雅5 Test 1,C5T1W2,10590,,是否同意,全部话题|教育类,是否同意,1302_0_1310|1302_1314_1310,true,0,
6757,剑雅11 Test 1,C11T1W2,10378,,是否同意,全部话题|政府类,是否同意,1302_0_1310|1302_1313_1310,true,0,
6798,剑雅11 Test 2,C11T2W2,10368,,是否同意,全部话题|环境类,是否同意,1302_0_1310|1302_1312_1310,true,0,
6860,剑雅10 Test 4,C10T4W2,10249,,利弊分析,全部话题|政府类,利弊分析,1302_0_1309|1302_1313_1309,true,0,
6829,剑雅11 Test 4,C11T4W1,9872,拼图,,,拼图,1301_0_1364,true,1,
6684,剑雅13 Test 2,C13T2W2,9720,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
6915,剑雅8 Test 3,C8T3W1,9704,流程图,,,流程图,1301_0_1305,true,1,
7030,剑雅6 Test 2,C6T2W1,9603,表格,,,表格,1301_0_1307,true,0,
6847,剑雅9 Test 1,C9T1W2,9559,,利弊分析,全部话题|教育类,利弊分析,1302_0_1309|1302_1314_1309,true,0,
7096,剑雅5 Test 4,C5T4W1,9549,表格,,,表格,1301_0_1307,true,0,
7002,剑雅7 Test 4,C7T4W1,9499,饼型图,,,饼型图,1301_0_1306,true,1,
6729,剑雅13 Test 4,C13T4W2,9498,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
7037,剑雅5 Test 2,C5T2W2,9184,,利弊分析,全部话题|教育类,利弊分析,1302_0_1309|1302_1314_1309,true,0,
7045,剑雅6 Test 3,C6T3W1,8905,流程图,,,流程图,1301_0_1305,true,1,
7010,剑雅7 Test 3,C7T3W1,8837,柱状图,,,柱状图,1301_0_1304,true,1,
6852,剑雅10 Test 3,C19T3W2,8800,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
7052,剑雅6 Test 4,C6T4W1,8683,柱状图,,,柱状图,1301_0_1304,true,1,
8581,剑雅20 Test 4,C20T4W2,8640,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
6697,剑雅13 Test 3,C13T3W2,8598,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
7071,剑雅5 Test 3,C5T3W1,8373,地图,,,地图,1301_0_1308,true,1,
6724,剑雅12 Test 5,C12T5W2,8105,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
6934,剑雅8 Test 2,C8T2W2,7403,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
6879,剑雅9 Test 2,C9T2W2,7300,,是否同意,全部话题|教育类,是否同意,1302_0_1310|1302_1314_1310,true,0,
6763,剑雅12 Test 7,C12T7W2,6882,,双边讨论,全部话题|政府类,双边讨论,1302_0_1365|1302_1313_1365,true,0,
7078,剑雅6 Test 1,C6T1W2,6721,,是否同意,全部话题|媒体类,是否同意,1302_0_1310|1302_1315_1310,true,0,
6993,剑雅7 Test 2,C7T2W2,6317,,双边讨论,全部话题|犯罪类,双边讨论,1302_0_1365|1302_1317_1365,true,0,
6916,剑雅8 Test 3,C8T3W2,6248,,是否同意,全部话题|环境类,是否同意,1302_0_1310|1302_1312_1310,true,0,
6950,剑雅8 Test 4,C8T4W2,6161,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
6772,剑雅12 Test 8,C12T8W2,5870,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
6918,剑雅10 Test 2,C10T2W2,5816,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
6906,剑雅8 Test 1,C8T1W2,5738,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
6790,剑雅11 Test 3,C11T3W2,5603,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
7098,剑雅5 Test 4,C5T4W2,5330,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
6890,剑雅9 Test 4,C9T4W2,5098,,是否同意,全部话题|社会生活类,是否同意,1302_0_1310|1302_1316_1310,true,0,
7011,剑雅7 Test 3,C7T3W2,5071,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
6831,剑雅11 Test 4,C11T4W2,5071,,双边讨论,全部话题|政府类,双边讨论,1302_0_1365|1302_1313_1365,true,0,
6939,剑雅9 Test 3,C9T3W2,5038,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
7126,剑雅7 Test 1,C7T1W2,4759,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
7072,剑雅5 Test 3,C5T3W2,4580,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
7003,剑雅7 Test 4,C7T4W2,3863,,双边讨论,全部话题|教育类,双边讨论,1302_0_1365|1302_1314_1365,true,0,
7032,剑雅6 Test 2,C6T2W2,3752,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
7053,剑雅6 Test 4,C6T4W2,3535,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
7046,剑雅6 Test 3,C6T3W2,3527,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,